species	Zymo_6300_I	Zymo_6300_MN	Zymo_6300_Q	Zymo_6300_Z	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I1_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I2_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I3_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_MN1_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_MN3_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q1_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q2_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q3_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z1_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z2_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z3_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I4_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I5_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_MN4_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_MN5_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q4_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q5_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z4_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z5_D6300	I_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_1_D6300	I_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_2_D6300	I_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_3_D6300	MN_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_1_D6300	MN_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_3_D6300	MN_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_4_D6300	Q_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_1_D6300	Q_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_2_D6300	Q_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_4_D6300	Z_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_1_D6300	Z_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_2_D6300	Z_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_4_D6300
Staphylococcus sp. AtHG25	0	0	0	0	1	2	1	0	1	0	0	0	2	1	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
Staphylococcus sp. HGB0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	16	5	9	6	1	2	0	0	0	1	2
Staphylococcus sp. HMSC035F11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	295	331	270	103	169	102	9	27	11	58	52	28
Staphylococcus sp. HMSC055H07	0	0	0	0	0	5	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	309	279	212	104	177	87	5	34	6	44	28	21
Staphylococcus sp. HMSC058E01	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	238	256	212	92	128	78	10	36	7	36	33	27
Staphylococcus sp. HMSC062H10	0	0	0	0	6	3	2	4	2	0	0	0	4	1	0	2	2	2	0	0	0	0	0	247	243	204	97	117	69	9	30	6	32	34	21
Staphylococcus sp. HMSC063F10	0	0	0	0	0	1	1	8	3	0	0	0	39	0	0	1	0	0	0	0	0	0	0	99	91	61	36	57	33	8	23	7	68	43	41
Staphylococcus sp. HMSC063H12	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	233	257	176	81	117	61	16	25	7	34	22	28
Staphylococcus sp. HMSC067B04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	2	0	0	1	0	0	0	0	1	0
Staphylococcus sp. HMSC068G11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	3	1	0	0	0	1	1	0	1
Staphylococcus sp. HMSC069D12	0	0	0	0	2	3	1	5	0	0	0	0	2	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Staphylococcus sp. HMSC072E01	0	0	0	0	389	444	462	208	292	76	27	62	456	280	156	122	105	51	23	16	15	86	53	512	538	431	248	372	233	87	141	38	395	272	263
Staphylococcus sp. HMSC073C02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	1	0	1	0	0	1	0	1	0	1
Staphylococcus sp. HMSC075C08	0	0	0	0	18	32	25	18	16	1	1	1	7	5	2	10	7	3	0	0	0	0	0	276	300	258	112	166	97	12	38	6	51	52	32
Staphylococcus sp. HMSC13A10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	2	7	3	2	0	2	2	2	1	3
Staphylococcus sp. HMSC14D10	0	0	0	0	3	5	5	7	1	0	0	0	3	2	0	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Staphylococcus sp. HMSC34H10	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	241	150	75	105	64	6	16	6	25	26	30
Staphylococcus sp. HMSC36A10	0	0	0	0	1	0	3	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	157	153	110	66	75	41	4	12	3	35	14	9
Staphylococcus sp. HMSC36D07	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	220	172	76	109	51	7	20	3	26	20	29
Staphylococcus sp. HMSC36F05	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	182	104	54	81	42	6	11	1	22	14	12
Staphylococcus sp. HMSC58E11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	148	92	48	68	42	5	23	4	20	20	10
Staphylococcus sp. HMSC73A05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	162	125	40	72	45	7	16	2	17	17	4
Staphylococcus sp. HMSC74F04	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	31	47	57	15	20	14	0	10	0	10	1	4
Staphylococcus sp. HMSC74G01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	170	148	75	67	57	10	17	3	24	22	20
Staphylococcus sp. M0480	0	0	0	0	0	1	1	7	1	1	0	0	8	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Staphylococcus sp. MB371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	1	2	1	2	1	0	1	0	0
Staphylococcus warneri	0	0	0	0	0	2	4	7	6	1	0	0	8	0	0	3	1	0	0	1	0	0	0	1	4	1	0	2	0	0	0	0	2	2	0
Stenotrophomonas sp. RIT309	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	2	3	4	1	1	2	2	1	0	1
Streptococcus sp. AS14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0	2	1	1	2	0	1	0	1
Streptomyces albulus	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	2	3	3	6	2	2	0	2	2	2
Streptomyces sp. CS159	0	0	0	0	0	0	0	7	0	1	1	0	4	0	0	0	0	0	0	0	0	0	0	32	137	86	306	122	409	119	482	106	61	41	405
Streptomyces sp. JV178	0	0	0	0	5	11	3	1	5	5	2	4	8	0	8	4	1	1	0	1	0	3	1	7	11	0	11	9	8	7	9	3	8	6	6
Superficieibacter electus	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	60	73	28	230	218	188	188	193	123	154	95	151
Sutcliffiella cohnii	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	2	2	4	0	2	1	0	0	3
Sutcliffiella horikoshii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	0	5	8	9	17	3	7	4	6
Suttonella ornithocola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	2	2	1	4	1	2	1	2
Tatumella citrea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	6	17	18	18	15	20	23	17	8	18
Tepidibacillus sp. HK-1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	0	0	1	2	1	2	2	1	2	2	2
Thermoflavimicrobium daqui	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	8	3	4	7	2	2	2	4	3	5	12
Thioploca ingrica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	10	5	1	3	2	3	2	0	2
Thiotrichales bacterium 35-46-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	5	5	2	1	6	2	9	0	2
Trabulsiella guamensis	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	4	0	0	1	0	0
Trichococcus flocculiformis	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	1	0	2	0	2	2	1	2	0	3
Trichococcus palustris	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	2	0	1	2	1	3	1	1	0	2	0	0
Trichococcus pasteurii	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	1	2	2	6	1	2	2	3
Trichococcus sp. ES5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	4	3	0	2	1	0	1	1	1	0	0
Tumebacillus avium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	6	3	5	2	2	3	6	2	4
Vibrio aerogenes	0	0	0	0	0	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	15	8	8	4	6	4	5	4	5
Vibrio sp. S457-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	2	3	0	3	0	1	0	0
Vibrio sp. S512-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	1	1	2	2	1	1	1	0	0
Virgibacillus indicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	13	7	7	9	12	17	24	5	10	9	23
Virgibacillus profundi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	4	1	2	2	2	2	5	1	2
Weissella confusa	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	10	6	5	2	1	0	0	0	5	4	1
Weizmannia coagulans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	2	0	3	4	0	2	1	3	3	2
Xanthomonadaceae bacterium NML03-0222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	4	0	4	0	0	1	0
Xenorhabdus sp. KJ12.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	4	7	9	8	7	4	8	2	6
Xenorhabdus sp. KK7.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	6	5	4	1	3	3	0	0	3
Yersinia intermedia	0	0	0	0	0	0	0	2	3	2	2	0	2	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
Yersinia wautersii	0	0	0	0	0	0	0	4	1	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0
Yokenella regensburgei	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	6	8	44	38	26	70	36	34	48	24	47
